DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
20120110;0;177.9200000;179.9900000;177.5100000;179.6100000;43932230
20120111;0;178.8600000;179.4000000;176.3800000;178.1000000;46132590
20120112;0;178.4800000;180.8200000;177.0400000;177.7400000;55222270
20120113;0;178.3000000;179.6000000;177.2800000;178.8400000;41619000
20120116;0;177.4500000;178.8300000;175.8500000;178.5000000;30826390
20120117;0;179.6700000;182.2800000;179.1700000;181.8000000;52633950
20120118;0;181.3200000;183.2000000;180.0000000;182.9000000;45348620
20120119;0;183.8500000;186.2900000;182.8200000;185.5000000;64519060
20120120;0;186.0500000;186.6800000;183.0500000;183.4800000;47926660
20120123;0;183.4000000;184.8300000;180.7700000;184.3400000;47075910
20120124;0;183.7000000;184.5000000;181.9700000;183.2800000;37620360
20120125;0;184.4000000;186.2500000;184.2500000;185.7000000;37697120
20120126;0;186.9700000;187.4300000;184.1400000;185.2500000;54812550
20120127;0;184.5000000;185.8000000;182.3000000;182.5000000;40199360
20120130;0;181.6300000;183.5800000;181.0300000;181.7500000;37307980
20120131;0;183.0000000;184.4700000;181.9000000;183.8000000;39601460
20120201;0;183.0000000;186.7500000;182.6000000;185.5400000;44102020
20120202;0;186.3000000;187.4500000;185.5000000;187.3500000;50719260
20120203;0;187.0000000;189.9000000;186.0400000;189.7000000;47833720
20120206;0;189.9000000;191.1100000;188.5000000;189.8000000;39955930
20120207;0;190.1700000;191.0900000;187.8500000;188.2000000;39757800
20120208;0;189.3300000;190.9000000;188.3000000;188.7700000;42479550
20120209;0;189.2000000;190.2400000;187.2100000;188.7900000;46650250
20120210;0;187.9100000;189.3700000;186.8500000;188.1600000;40215910
20120213;0;189.2000000;192.2000000;189.0200000;192.0000000;42828420
20120214;0;191.6400000;193.3500000;190.5700000;191.5100000;44470850
20120215;0;192.9900000;193.6900000;191.2000000;191.7000000;40584070
20120216;0;190.1400000;190.3800000;188.0300000;190.0000000;45687090
20120217;0;191.9000000;192.2700000;189.1000000;189.7000000;32727910
20120220;0;191.0700000;191.6000000;190.5000000;191.0000000;20540730
20120221;0;190.9800000;191.1200000;188.3300000;188.8000000;30160340
20120222;0;189.3000000;190.7900000;186.7300000;187.0000000;36121140
20120224;0;188.6400000;194.4000000;187.6100000;193.8500000;60770690
20120227;0;193.0700000;196.0000000;192.7600000;193.1000000;51197300
20120228;0;194.3000000;194.5000000;190.7000000;191.3700000;42951510
20120229;0;192.4000000;194.4900000;192.1100000;194.0900000;42613830
20120301;0;192.6500000;194.2700000;191.7600000;194.0100000;31445480
20120302;0;194.7400000;195.8900000;193.2400000;195.8500000;39963460
20120305;0;195.8900000;199.8900000;195.8300000;199.8200000;46873560
20120306;0;198.6700000;198.9000000;192.1200000;193.0000000;56027960
20120307;0;192.2500000;194.9600000;191.0000000;194.0000000;40570180
20120311;0;196.5700000;197.8800000;196.1100000;197.5300000;14143440
20120312;0;196.7700000;199.1300000;195.6900000;197.3900000;39391380
